stage,method,family,label_field,score_field,reference_field,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1,high_similarity_wrong,low_similarity_correct,dataset,task_type,embedding_model,question_type,threshold_scope,calibration_status,skip_reason,num_examples,num_positive,num_negative,score_std,cv_num_folds,cv_selected_thresholds,cv_mean_selected_threshold,cv_threshold_std
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,10,90,,,,0.35600000000000004,0.6,0.1590909090909091,0.7,0.25925925925925924,0.6166666666666666,0.13406006914558666,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,when,question_type_cv,applied,,100,10,90,0.2246554222242858,5,0.33;0.31;0.41;0.33;0.40,0.35600000000000004,0.040792156108742275
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,12,68,0.5762134318550428,0.28041840237753657,0.29579502947750624,0.75,0.85,0.5,0.16666666666666666,0.25,0.8137254901960784,0.44156825441713243,0.36,0.7375,0.3548387096774194,0.9166666666666666,0.5116279069767442,1,5,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,where,global_fixed,reporting_only,,80,12,68,0.25510748115522336,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,12,68,,,,0.41,0.7375,0.3448275862068966,0.8333333333333334,0.4878048780487805,0.8137254901960784,0.44156825441713243,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,where,question_type_cv,applied,,80,12,68,0.25510748115522336,5,0.36;0.36;0.64;0.36;0.33,0.41,0.11558546621439912
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,20,126,0.550758596137166,0.22061204933561385,0.3301465468015522,0.75,0.8904109589041096,0.8333333333333334,0.25,0.38461538461538464,0.8158730158730159,0.5860127723191608,0.62,0.8972602739726028,0.6923076923076923,0.45,0.5454545454545454,0,9,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,who,global_fixed,reporting_only,,146,20,126,0.22601030168305955,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,20,126,,,,0.5980000000000001,0.863013698630137,0.5,0.35,0.4117647058823529,0.8158730158730159,0.5860127723191608,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,who,question_type_cv,applied,,146,20,126,0.22601030168305955,5,0.66;0.62;0.63;0.62;0.46,0.5980000000000001,0.07054076835419358
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0,14,nan,0.5341798067092896,nan,0.75,0.7857142857142857,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,yes_no,global_fixed,reporting_only,,14,0,14,0.22642082310733452,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0,14,nan,0.5341798067092896,nan,0.75,0.7857142857142857,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,yes_no,inherited_global,skipped,num_examples<50,14,0,14,0.22642082310733452,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,48,452,0.4994369563841749,0.2717796655336912,0.2276572908504837,0.75,0.902,0.4666666666666667,0.14583333333333334,0.2222222222222222,0.7627212389380532,0.3216462281447726,0.43,0.748,0.21739130434782608,0.625,0.3225806451612903,4,25,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,all,dataset_global,dataset_reference,,500,48,452,0.217693744495455,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,1,30,0.6101622533798218,0.4594566775547478,0.150705575825074,0.75,0.9032258064516129,0.0,0.0,0.0,0.7,0.1,0.56,0.7096774193548387,0.1,1.0,0.18181818181818182,2,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,definition,global_fixed,reporting_only,,31,1,30,0.2204032654559844,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,1,30,0.6101622533798218,0.4594566775547478,0.150705575825074,0.75,0.9032258064516129,0.0,0.0,0.0,0.7,0.1,0.56,0.7096774193548387,0.1,1.0,0.18181818181818182,2,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,definition,inherited_global,skipped,num_examples<50,31,1,30,0.2204032654559844,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,3,101,0.3760947297016779,0.37501471433531236,0.0010800153663655387,0.75,0.9615384615384616,0.0,0.0,0.0,0.4983498349834984,0.03664147482924361,0.29,0.375,0.04411764705882353,1.0,0.08450704225352113,0,3,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,general,global_fixed,reporting_only,,104,3,101,0.17739809564160225,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,3,101,0.3760947297016779,0.37501471433531236,0.0010800153663655387,0.75,0.9615384615384616,0.0,0.0,0.0,0.4983498349834984,0.03664147482924361,0.29,0.375,0.04411764705882353,1.0,0.08450704225352113,0,3,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,general,inherited_global,skipped,num_positive<10,104,3,101,0.17739809564160225,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0,2,nan,0.29276066720485683,nan,0.75,1.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,list,global_fixed,reporting_only,,2,0,2,0.11860118210315704,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0,2,nan,0.29276066720485683,nan,0.75,1.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,list,inherited_global,skipped,num_examples<50,2,0,2,0.11860118210315704,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,2,21,0.765700152516365,0.21890932476137775,0.5467908277549873,0.75,0.9565217391304348,1.0,0.5,0.6666666666666666,0.9761904761904762,0.8333333333333333,0.46,0.9565217391304348,0.6666666666666666,1.0,0.8,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,number,global_fixed,reporting_only,,23,2,21,0.23472147121053422,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,2,21,0.765700152516365,0.21890932476137775,0.5467908277549873,0.75,0.9565217391304348,1.0,0.5,0.6666666666666666,0.9761904761904762,0.8333333333333333,0.46,0.9565217391304348,0.6666666666666666,1.0,0.8,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,number,inherited_global,skipped,num_examples<50,23,2,21,0.23472147121053422,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,10,90,0.4458266366372506,0.2865554089582256,0.15927122767902496,0.75,0.88,0.0,0.0,0.0,0.7377777777777778,0.1938018495551523,0.37,0.69,0.23076923076923078,0.9,0.3673469387755102,0,6,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,when,global_fixed,reporting_only,,100,10,90,0.19798520981587944,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,10,90,,,,0.37,0.69,0.23076923076923078,0.9,0.3673469387755102,0.7377777777777778,0.1938018495551523,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,when,question_type_cv,applied,,100,10,90,0.19798520981587944,5,0.37;0.37;0.37;0.37;0.37,0.37,0.0
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,12,68,0.5280716245207522,0.20917103292477982,0.3189005915959724,0.75,0.875,1.0,0.16666666666666666,0.2857142857142857,0.875,0.5607642517125275,0.44,0.85,0.5,0.75,0.6,0,5,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,where,global_fixed,reporting_only,,80,12,68,0.2200305672948447,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,12,68,,,,0.46399999999999997,0.8375,0.4666666666666667,0.5833333333333334,0.5185185185185185,0.875,0.5607642517125275,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,where,question_type_cv,applied,,80,12,68,0.2200305672948447,5,0.47;0.44;0.44;0.50;0.47,0.46399999999999997,0.022449944320643647
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,20,126,0.4954000649150639,0.15776176786826304,0.3376382970468008,0.75,0.8835616438356164,0.8,0.2,0.32,0.8603174603174604,0.6397661358906285,0.47,0.910958904109589,0.8181818181818182,0.45,0.5806451612903226,1,11,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,who,global_fixed,reporting_only,,146,20,126,0.2025811168045751,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,20,126,,,,0.41600000000000004,0.863013698630137,0.5,0.45,0.47368421052631576,0.8603174603174604,0.6397661358906285,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,who,question_type_cv,applied,,146,20,126,0.2025811168045751,5,0.30;0.47;0.47;0.42;0.42,0.41600000000000004,0.06216108107168021
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0,14,nan,0.4364289568424519,nan,0.75,0.8571428571428571,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,yes_no,global_fixed,reporting_only,,14,0,14,0.21611922800226385,,,,
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0,14,nan,0.4364289568424519,nan,0.75,0.8571428571428571,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,yes_no,inherited_global,skipped,num_examples<50,14,0,14,0.21611922800226385,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.5456893298154076,0.3504823652430658,0.19520696457234182,0.75,0.876,0.28125,0.1875,0.225,0.7052912979351031,0.29805283414887984,0.37,0.604,0.17391304347826086,0.8333333333333334,0.28776978417266186,11,24,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,all,dataset_global,dataset_reference,,500,48,452,0.24725627649174123,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,1,30,0.7002317905426025,0.5589413985610008,0.14129039198160176,0.75,0.8064516129032258,0.0,0.0,0.0,0.6333333333333333,0.08333333333333333,0.67,0.6451612903225806,0.08333333333333333,1.0,0.15384615384615385,3,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,definition,global_fixed,reporting_only,,31,1,30,0.22974699732777437,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,1,30,0.7002317905426025,0.5589413985610008,0.14129039198160176,0.75,0.8064516129032258,0.0,0.0,0.0,0.6333333333333333,0.08333333333333333,0.67,0.6451612903225806,0.08333333333333333,1.0,0.15384615384615385,3,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,definition,inherited_global,skipped,num_examples<50,31,1,30,0.22974699732777437,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,3,101,0.5208444992701212,0.47625323848817314,0.04459126078194808,0.75,0.9038461538461539,0.0,0.0,0.0,0.5610561056105611,0.044444444444444446,0.42,0.41346153846153844,0.046875,1.0,0.08955223880597014,4,2,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,general,global_fixed,reporting_only,,104,3,101,0.20717445666410184,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,3,101,0.5208444992701212,0.47625323848817314,0.04459126078194808,0.75,0.9038461538461539,0.0,0.0,0.0,0.5610561056105611,0.044444444444444446,0.42,0.41346153846153844,0.046875,1.0,0.08955223880597014,4,2,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,general,inherited_global,skipped,num_positive<10,104,3,101,0.20717445666410184,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0,2,nan,0.3365676701068878,nan,0.75,1.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,list,global_fixed,reporting_only,,2,0,2,0.10823497176170349,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0,2,nan,0.3365676701068878,nan,0.75,1.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,list,inherited_global,skipped,num_examples<50,2,0,2,0.10823497176170349,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,2,21,0.8795716464519501,0.2760657927331825,0.6035058537187676,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,number,global_fixed,reporting_only,,23,2,21,0.2697867574797,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,2,21,0.8795716464519501,0.2760657927331825,0.6035058537187676,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,number,inherited_global,skipped,num_examples<50,23,2,21,0.2697867574797,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,10,90,0.4152285285294056,0.34655350339598956,0.06867502513341606,0.75,0.84,0.0,0.0,0.0,0.6344444444444445,0.14058593690350382,0.41,0.7,0.20588235294117646,0.7,0.3181818181818182,2,8,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,when,global_fixed,reporting_only,,100,10,90,0.2280439179809067,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,10,90,,,,0.35600000000000004,0.62,0.16666666666666666,0.7,0.2692307692307692,0.6344444444444445,0.14058593690350382,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,when,question_type_cv,applied,,100,10,90,0.2280439179809067,5,0.33;0.31;0.41;0.33;0.40,0.35600000000000004,0.040792156108742275
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,12,68,0.5762134318550428,0.2902270502621404,0.2859863815929024,0.75,0.85,0.5,0.16666666666666666,0.25,0.8051470588235293,0.4360715919942607,0.36,0.725,0.34375,0.9166666666666666,0.5,1,5,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,where,global_fixed,reporting_only,,80,12,68,0.25173413430168934,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,12,68,,,,0.4699999999999999,0.75,0.34615384615384615,0.75,0.47368421052631576,0.8051470588235293,0.4360715919942607,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,where,question_type_cv,applied,,80,12,68,0.25173413430168934,5,0.36;0.36;0.64;0.36;0.63,0.4699999999999999,0.13475904422338414
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,20,126,0.5552166391164064,0.22820174309336358,0.3270148960230428,0.75,0.8904109589041096,0.8333333333333334,0.25,0.38461538461538464,0.8071428571428572,0.5938123584082382,0.62,0.8972602739726028,0.6923076923076923,0.45,0.5454545454545454,0,9,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,who,global_fixed,reporting_only,,146,20,126,0.22734256800812683,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,20,126,,,,0.5740000000000001,0.8561643835616438,0.4666666666666667,0.35,0.4,0.8071428571428572,0.5938123584082382,,,,,,,,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,who,question_type_cv,applied,,146,20,126,0.22734256800812683,5,0.66;0.62;0.63;0.48;0.48,0.5740000000000001,0.07787168933572716
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0,14,nan,0.5285013360636575,nan,0.75,0.8571428571428571,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,yes_no,global_fixed,reporting_only,,14,0,14,0.22162376115075633,,,,
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0,14,nan,0.5285013360636575,nan,0.75,0.8571428571428571,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,yes_no,inherited_global,skipped,num_examples<50,14,0,14,0.22162376115075633,,,,
unit2,Reference validation + 0.5 span blend: sentence-transformers/all-MiniLM-L6-v2,prediction_span_ablation,correct_label,prediction_span_blend_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.631466347258538,0.36657490126848624,0.26489144599005177,0.75,0.896,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.7925424041297935,0.4095321488507673,0.69,0.874,0.38095238095238093,0.5,0.43243243243243246,10,16,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,all,dataset_global,dataset_reference,,500,48,452,0.23508238803004156,,,,
unit2,Reference validation + 0.5 span blend: sentence-transformers/all-MiniLM-L6-v2,prediction_span_ablation,correct_label,prediction_span_blend_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,1,30,0.7054437696933746,0.5050783399492502,0.2003654297441244,0.75,0.9032258064516129,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.7,0.8387096774193549,0.16666666666666666,1.0,0.2857142857142857,1,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,definition,global_fixed,reporting_only,,31,1,30,0.21277541506868927,,,,
unit2,Reference validation + 0.5 span blend: sentence-transformers/all-MiniLM-L6-v2,prediction_span_ablation,correct_label,prediction_span_blend_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,1,30,0.7054437696933746,0.5050783399492502,0.2003654297441244,0.75,0.9032258064516129,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.7,0.8387096774193549,0.16666666666666666,1.0,0.2857142857142857,1,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,definition,inherited_global,skipped,num_examples<50,31,1,30,0.21277541506868927,,,,
