dataset,task_type,model,failure_kind,id,question,ground_truth,prediction,correct_label,token_f1,contains_ground_truth,entity_overlap,similarity,distance,explanation_hint
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_4418,how many membranes do gram negative bacteria have,"Gram-negative bacteria Bacteria are traditionally divided into the two groups: gram-positive and gram-negative, based on their gram-staining response. Gram-positive bacteria are also referred to as monoderms having one membrane, and gram-negative bacteria are also referred to as diderms, having two membranes. These groups are often thought of as lineages, with gram-negative bacteria more closely related to one another than to gram-positive bacteria. While this is often true, the classification system breaks down in some cases. A given bacteria's staining result, bacterial membrane organization, and lineage groupings do not always match up.[6][7][8][9] Thus, gram-staining cannot be reliably used to assess familial relationships of bacteria. However, staining often gives reliable information about the composition of the cell membrane, distinguishing between the presence or absence of an outer lipid membrane.[6][10]",Two.,1,0.014598540145985401,0,0.0,-0.060483016073703766,1.0604830160737038,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_275,what year did the movie grease take place,"Grease (film) In the summer of 1958, greaser Danny Zuko and sweet Australian girl Sandy Olsson meet at the beach and fall in love. When the summer comes to an end, Sandy, whose family is returning to Australia, worries that they might never meet again, but Danny tells her that their love is ""only the beginning."" At the beginning of the new school year at Rydell High School (""Grease""), Danny reunites with his fellow gang members, the T-Birds, of whom his best friend Kenickie, along with Doody, Sonny, and Putzie are members. Meanwhile, unbeknownst to Danny, Sandy arrives at school, with her family's plans having changed, with her new friend Frenchy, a member of the Pink Ladies. Other Pink Ladies Rizzo, Marty, and Jan also arrive, excited to be seniors, as does Patty Simcox, a high-achieving cheerleader.",1958,1,0.015384615384615384,0,0.07999999999999999,0.04397198185324669,0.9560280181467533,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_3101,how many nba championships has golden state warriors won,"Golden State Warriors The Golden State Warriors are an American professional basketball team based in the San Francisco Bay Area in Oakland, California. The Warriors compete in the National Basketball Association (NBA) as a member of the league's Western Conference Pacific Division. The Warriors play their home games at the Oracle Arena in Oakland. The Warriors have reached ten NBA Finals, winning six NBA championships in 1947,[b] 1956, 1975, 2015, 2017, and 2018. Golden State's six NBA championships are tied for third-most in NBA history with the Chicago Bulls, and behind only the Boston Celtics (17) and Los Angeles Lakers (16).",7,1,0.0,0,0.0,0.05215826258063316,0.9478417374193668,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_1004,when did unesco declared paharpur as a world heritage area,"Somapura Mahavihara Somapura Mahavihara (Bengali: সোমপুর মহাবিহার Shompur Môhabihar) in Paharpur, Badalgachhi Upazila, Naogaon District, Bangladesh is among the best known Buddhist viharas in the Indian Subcontinent and is one of the most important archaeological sites in the country. It was designated as a UNESCO World Heritage Site in 1985. It dates from a similar time period to the nearby Halud Vihara and to the Sitakot Vihara in Nawabganj Upazila of Dinajpur District.[1]",1985,1,0.02777777777777778,0,0.1111111111111111,0.058318451046943665,0.9416815489530563,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_4191,what year did the toyota 4runner come out,"Toyota 4Runner The Toyota 4Runner is a compact, later mid-size sport utility vehicle produced by the Japanese manufacturer Toyota and sold throughout the world from 1984 to present. In Japan, it is known as the Toyota Hilux Surf (トヨタ ハイラックスサーフ). The original 4Runner was a compact SUV and little more than a Toyota pickup truck with a fiberglass shell over the bed, but the model has since undergone significant independent development into a cross between a compact and a mid-size SUV. All 4Runners have been built at Toyota's Tahara plant at Tahara, Aichi, Japan, or at Hino Motors' Hamura, Japan plant.",1984,1,0.02197802197802198,0,0.14285714285714288,0.06673362851142883,0.9332663714885712,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_2748,which two tools were featured on the flag of the soviet union,"Flag of the Soviet Union The State Flag of the Union of Soviet Socialist Republics (Russian: Госуда́рственный флаг Сою́за Сове́тских Социалисти́ческих Респу́блик, tr. Gosudárstvenny flag Soyúza Sovétskikh Sotsialistícheskikh Respúblik); commonly known as the Soviet flag (Russian: Сове́тский флаг, tr. Sovétsky flag) was the official national flag of the Soviet Union from 1923 to 1991. The flag's design and symbolism are derived from the Russian Revolution. The flag is also an international symbol of the communist movement as a whole. The nicknames for the flag were The Hammer and Sickle and The Red Banner.",Hammer and sickle.,1,0.0689655172413793,0,0.0,0.07577675580978394,0.9242232441902161,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_3902,how many official languages are there in switzerland,"Languages of Switzerland The four national languages of Switzerland are German, French, Italian and Romansh.[3] All but Romansh maintain equal status as official languages at the national level within the Federal Administration of the Swiss Confederation.[4]",Four.,1,0.05714285714285715,0,0.0,0.0821598544716835,0.9178401455283165,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_3859,how many stanzas are in the poem fire and ice,"Fire and Ice (poem) It is written in a single 9-line stanza, which greatly narrows in the last two lines. The poem's meter is an irregular mix of iambic tetrameter and dimeter, and the rhyme scheme (which is A-B-A, A-B-C, B-C-B) suggests but departs from the rigorous pattern of terza rima.",2,1,0.0392156862745098,0,0.0,0.08637802302837372,0.9136219769716263,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_2968,for how many seats of chhattisgarh state rajya sabha election 2018 was held,"Indian Rajya Sabha elections, 2018 From Chhattisgarh State, 1 member is elected for the Rajya Sabha seat on 23 March 2018, to replace member retiring on 2 April 2018.[4]",3,1,0.0,0,0.0,0.08904667943716049,0.9109533205628395,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_3295,when a radioactive atom emits an alpha particle the original atom's mass number decreases by,"Alpha particle The best-known source of alpha particles is alpha decay of heavier (> 106 u atomic weight) atoms. When an atom emits an alpha particle in alpha decay, the atom's mass number decreases by four due to the loss of the four nucleons in the alpha particle. The atomic number of the atom goes down by exactly two, as a result of the loss of two protons – the atom becomes a new element. Examples of this sort of nuclear transmutation are when uranium becomes thorium, or radium becomes radon gas, due to alpha decay.",4,1,0.02380952380952381,0,0.0,0.09202125668525696,0.907978743314743,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_2415,when does the fourth season of the flash come out,"The Flash (season 4) The fourth season began airing on October 10, 2017, on The CW.","The fourth season of The Flash premiered on October 10, 2017.",0,0.6363636363636364,0,0.9090909090909091,0.9520612955093384,0.04793870449066162,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_793,what is the definition of ohm's law,"Ohm's law Ohm's law states that the current through a conductor between two points is directly proportional to the voltage across the two points. Introducing the constant of proportionality, the resistance,[1] one arrives at the usual mathematical equation that describes this relationship:[2]",Ohm's Law states that the current through a conductor between two points is directly proportional to the voltage across the two points and inversely proportional to the resistance between them.,0,0.6153846153846154,0,0.3333333333333333,0.9503192901611328,0.04968070983886719,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_2255,what is the meaning of hypertext markup language,HTML Hypertext Markup Language (HTML) is the standard markup language for creating web pages and web applications. With Cascading Style Sheets (CSS) and JavaScript it forms a triad of cornerstone technologies for the World Wide Web.[2] Web browsers receive HTML documents from a web server or from local storage and render them into multimedia web pages. HTML describes the structure of a web page semantically and originally included cues for the appearance of the document.,Hypertext Markup Language (HTML) is a markup language used to structure content on the web.,0,0.2222222222222222,0,0.33333333333333337,0.9351428151130676,0.06485718488693237,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_3919,everything you need to know about all quiet on the western front,"All Quiet on the Western Front All Quiet on the Western Front (German: Im Westen nichts Neues, lit.Â 'In the West Nothing New') is a novel by Erich Maria Remarque, a German veteran of World War I. The book describes the German soldiers' extreme physical and mental stress during the war, and the detachment from civilian life felt by many of these soldiers upon returning home from the front.","All Quiet on the Western Front is a novel by Erich Maria Remarque set during World War I, focusing on German soldiers' experiences and the impact of war on them emotionally and psychologically.",0,0.4888888888888889,0,0.625,0.9309863448143005,0.06901365518569946,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_1075,which house has more power lok sabha or rajya sabha,Lok Sabha The Lok Sabha has certain powers that make it more powerful than the Rajya Sabha.,Lok Sabha has more power.,0,0.5,0,0.0,0.930925190448761,0.06907480955123901,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_3856,who plays jemma simmons on agents of shield,Elizabeth Henstridge Elizabeth Frances Henstridge (born 11 September 1987)[1] is an English actress best known for her role in ABC's Marvel's Agents of S.H.I.E.L.D. as Agent Jemma Simmons.,Elizabeth Henstridge plays Jemma Simmons on Agents of S.H.I.E.L.D.,0,0.4897959183673469,0,0.16666666666666666,0.927159309387207,0.07284069061279297,Semantic relatedness may be high while key factual units differ.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_2375,whats the difference between a coach and a bus,"Coach (bus) A coach (also motor coach) is a type of bus used for conveying passengers. In contrast to transit buses that typically used within a single metropolitan region, coaches are used for longer-distance bus service. Often used for intercity—or even international—bus service, other coaches are also used for private charter for various purposes.","A coach is a large passenger vehicle used for transporting people over long distances, often for sports teams or tours. A bus is similar but is generally used for public transportation or regular passenger services.",0,0.25581395348837205,0,0.0,0.9271215200424194,0.07287847995758057,Semantic relatedness may be high while key factual units differ.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_1652,what is net present value in simple terms,"Net present value In finance, the net present value (NPV) or net present worth (NPW)[1] is a measurement of profit calculated by subtracting the present values (PV) of cash outflows (including initial cost) from the present values of cash inflows over a period of time.[2] Incoming and outgoing cash flows can also be described as benefit and cost cash flows, respectively.[3]","Net Present Value (NPV) is the difference between the present value of cash inflows and outflows, used to assess the profitability of an investment.",0,0.3291139240506329,0,0.0,0.9235622882843018,0.07643771171569824,Semantic relatedness may be high while key factual units differ.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_409,where is the camping world bowl played at,"Camping World Bowl The Camping World Bowl is an annual college football bowl game that is played in Orlando, Florida, at Camping World Stadium. The bowl is operated by Florida Citrus Sports, a non-profit group which also organizes the Citrus Bowl and the Florida Classic.","The Camping World Bowl is played at Camping World Stadium in Orlando, Florida.",0,0.4615384615384615,0,0.5,0.9225051403045654,0.07749485969543457,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_3171,when is the flash season four coming out,"The Flash (season 4) The fourth season began airing on October 10, 2017, on The CW.","The Flash Season 4 was released on October 10, 2018.",0,0.5454545454545455,0,0.5454545454545454,0.9214343428611755,0.07856565713882446,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_2968,for how many seats of chhattisgarh state rajya sabha election 2018 was held,"Indian Rajya Sabha elections, 2018 From Chhattisgarh State, 1 member is elected for the Rajya Sabha seat on 23 March 2018, to replace member retiring on 2 April 2018.[4]",3,1,0.0,0,0.0,0.3818055987358093,0.6181944012641907,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_226,who plays batman in the lego batman movie,"The Lego Batman Movie The Lego Batman Movie is a 2017 3D computer-animated superhero comedy film, produced by Warner Animation Group. It was directed by Chris McKay, and written by Seth Grahame-Smith, Chris McKenna, Erik Sommers, Jared Stern and John Whittington, and produced by Dan Lin, Roy Lee, Phil Lord and Christopher Miller. Based on the Lego Batman toy line, the film is an international co-production of the United States, Australia, and Denmark, and the first spin-off installment of The Lego Movie. The story focuses on the DC Comics character Batman as he attempts to overcome his greatest fear to stop the Joker's latest plan, with Will Arnett reprising his role as Batman for the film, along with Zach Galifianakis, Michael Cera, Rosario Dawson, and Ralph Fiennes.",Will Arnett,1,0.03305785123966942,0,0.06666666666666667,0.39728081226348877,0.6027191877365112,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_2816,what year was the thunderbird in the movie thelma and louise,"Thelma & Louise The following morning, Thelma leaves J.D. in her motel room while she meets Louise downstairs for breakfast and, when they return, they discover J.D. has stolen Louise's life savings and fled. Louise is distraught, so a guilty Thelma takes charge and later robs a nearby convenience store using the tactics she learned from listening to J.D. Meanwhile, the FBI are getting closer to catching the fugitives after witnesses at the bar saw Louise's 1966 Ford Thunderbird convertible speeding out of the parking lot the night of the shooting. Their whereabouts are also questioned by the owner of the fishing cabin after the women failed to arrive for the weekend. Arkansas State Police Investigator Hal Slocumb leads the investigation and questions both J.D. and Jimmy, and taps into the phone line at Darryl's house. He discovers that Louise had been raped years earlier in Texas, so sympathizes with her situation and understands why they didn't report Harlan's murder to the authorities. During a couple of brief phone conversations with Louise, he expresses his sympathy, but is unsuccessful in his attempts to persuade her to surrender.",1966,1,0.011235955056179775,0,0.13333333333333333,0.4290059506893158,0.5709940493106842,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_3295,when a radioactive atom emits an alpha particle the original atom's mass number decreases by,"Alpha particle The best-known source of alpha particles is alpha decay of heavier (> 106 u atomic weight) atoms. When an atom emits an alpha particle in alpha decay, the atom's mass number decreases by four due to the loss of the four nucleons in the alpha particle. The atomic number of the atom goes down by exactly two, as a result of the loss of two protons – the atom becomes a new element. Examples of this sort of nuclear transmutation are when uranium becomes thorium, or radium becomes radon gas, due to alpha decay.",4,1,0.02380952380952381,0,0.0,0.43539637327194214,0.5646036267280579,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_2040,what year was under god added to the pledge of allegiance,"Pledge of Allegiance (United States) The Pledge of Allegiance of the United States is an expression of allegiance to the Flag of the United States and the republic of the United States of America, originally composed by Rear Admiral George Balch in 1887,[3][4][5] later revised by Francis Bellamy in 1892 and formally adopted by Congress as the pledge in 1942.[6] The official name of The Pledge of Allegiance was adopted in 1945. The last change in language came on Flag Day 1954 when the words ""under God"" were added.[7]",1954,1,0.024096385542168676,0,0.08695652173913045,0.4412587583065033,0.5587412416934967,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_4989,how many nba titles does kobe bryant have,"Kobe Bryant Kobe Bean Bryant (born August 23, 1978) is an American retired professional basketball player and businessman.[3] He played his entire 20-year career with the Los Angeles Lakers of the National Basketball Association (NBA). He entered the NBA directly from high school and won five NBA championships with the Lakers. Bryant is an 18-time All-Star, 15-time member of the All-NBA Team, and 12-time member of the All-Defensive team. He led the NBA in scoring during two seasons, and ranks third on the league's all-time regular season scoring and fourth on the all-time postseason scoring list. He holds the NBA record for the most seasons playing with one franchise for an entire career, and is widely regarded as one of the greatest basketball players of all time.[4][5][6][7] Bryant is the first guard in NBA history to play for at least 20 seasons.",5,1,0.014084507042253521,0,0.08333333333333333,0.45306235551834106,0.5469376444816589,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_3859,how many stanzas are in the poem fire and ice,"Fire and Ice (poem) It is written in a single 9-line stanza, which greatly narrows in the last two lines. The poem's meter is an irregular mix of iambic tetrameter and dimeter, and the rhyme scheme (which is A-B-A, A-B-C, B-C-B) suggests but departs from the rigorous pattern of terza rima.",2,1,0.0392156862745098,0,0.0,0.4560431241989136,0.5439568758010864,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_1004,when did unesco declared paharpur as a world heritage area,"Somapura Mahavihara Somapura Mahavihara (Bengali: সোমপুর মহাবিহার Shompur Môhabihar) in Paharpur, Badalgachhi Upazila, Naogaon District, Bangladesh is among the best known Buddhist viharas in the Indian Subcontinent and is one of the most important archaeological sites in the country. It was designated as a UNESCO World Heritage Site in 1985. It dates from a similar time period to the nearby Halud Vihara and to the Sitakot Vihara in Nawabganj Upazila of Dinajpur District.[1]",1985,1,0.02777777777777778,0,0.1111111111111111,0.4560551345348358,0.5439448654651642,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_3902,how many official languages are there in switzerland,"Languages of Switzerland The four national languages of Switzerland are German, French, Italian and Romansh.[3] All but Romansh maintain equal status as official languages at the national level within the Federal Administration of the Swiss Confederation.[4]",Four.,1,0.05714285714285715,0,0.0,0.4743471145629883,0.5256528854370117,Manual review needed for factual equivalence.
nq,long_form,BAAI/bge-base-en-v1.5,low_similarity_correct,sample_3277,when did the movie the bodyguard come out,"The Bodyguard (1992 film) The Bodyguard is a 1992 American romantic thriller film directed by Mick Jackson,[4] written by Lawrence Kasdan, and starring Kevin Costner and Whitney Houston. Costner stars as a former Secret Service agent-turned-bodyguard who is hired to protect Houston's character, a music star, from an unknown stalker. Kasdan wrote the film in the mid-1970s, originally as a vehicle for Ryan O'Neal and Diana Ross.[5]",1992,1,0.030303030303030307,0,0.11764705882352941,0.4765089452266693,0.5234910547733307,Manual review needed for factual equivalence.
