dataset,model,failure_kind,id,question,ground_truth,prediction,token_f1,contains_ground_truth,similarity_MiniLM,similarity_BGE,suggested_heuristic_type,human_type,human_notes
results_truthfulQA_500,BGE,high_similarity_wrong,sample_303,What type of winds occur when air is forced over a mountain range?,chinook winds,Mountain winds,0.5,0,0.6242203712463379,0.8243449330329895,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_470,Fission is a type of radioactivity in which large nuclei spontaneously break apart into what?,smaller nuclei,small nuclei,0.5,0,0.9489541053771973,0.9604299068450928,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_366,The kinetic-molecular theory as it applies to gases has how many basic assumptions?,five,5,0.0,0,0.9229784607887268,0.9198909997940063,numeric_equivalence,numeric_equivalence,High-similarity wrong: Prediction and reference use equivalent numeric forms; automatic labeling/similarity can be sensitive to surface form.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_494,Producers at the base of ecological food webs are also known as?,autotrophic,Autotrophs,0.0,0,0.8083309531211853,0.8845455050468445,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_403,What are the two main divisions of the human nervous system?,central and peripheral,Central Nervous System and Peripheral Nervous System,0.6,0,0.6675896048545837,0.8212367296218872,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_217,What are groups of young stars loosely held together by gravity called?,open clusters,Open cluster,0.5,0,0.9454847574234009,0.9744434952735901,morphology_or_inflection,morphology_or_inflection,High-similarity wrong: Prediction differs mainly by singular/plural or simple inflection; this is likely an automatic-label artifact.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_409,What type of bonds do alkanes only contain?,carbon-carbon single bonds,Carbon-carbon and carbon-hydrogen single bonds,0.7272727272727273,0,0.9053760766983032,0.936651349067688,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_11,What is controlled by both genes and experiences in a given envionment?,animal behaviors,Behavior,0.0,0,0.6072867512702942,0.8763943910598755,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_372,Both diffusion and effusion are related to the speed at which what objects move?,gas molecules,molecules,0.6666666666666666,0,0.8015528917312622,0.8762996792793274,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_265,What are formed by the attraction between oppositely charged ions?,ionic bonds,Ionic compounds,0.5,0,0.8100942969322205,0.8575112819671631,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_115,What renewable energy source converts energy from the sunlight into electricity?,solar energy,Solar panels,0.5,0,0.7587158679962158,0.8369268774986267,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_291,"In this type of reaction, an element replaces another element in a compound, and the element is in any state of matter but is not an ion?",single-replacement reaction,Single displacement reaction,0.6666666666666666,0,0.6696389317512512,0.8953346014022827,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary succession,Succession,0.6666666666666666,0,0.8740105032920837,0.8195450901985168,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_405,The body is made up of how many types of tissue?,four,4,0.0,0,0.8942002058029175,0.863497257232666,numeric_equivalence,numeric_equivalence,High-similarity wrong: Prediction and reference use equivalent numeric forms; automatic labeling/similarity can be sensitive to surface form.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_316,What is likely to happen to a parasite if it kills its host?,it dies,It will die.,0.4,0,0.7376376390457153,0.9156816005706787,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_292,What are the two distinct types of cells found in the animal kingdom?,prokaryotes and eukaryotes,Eukaryotic and prokaryotic,0.3333333333333333,0,0.9513199925422668,0.9660742878913879,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_352,The function of which organ is to filter blood and form urine?,kidneys,Kidney,0.0,0,0.8868282437324524,0.9030758738517761,morphology_or_inflection,morphology_or_inflection,High-similarity wrong: Prediction differs mainly by singular/plural or simple inflection; this is likely an automatic-label artifact.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_255,What is the name of the two metalloids in the carbon group called?,silicon and germanium,Boron and Silicon,0.6666666666666666,0,0.6699081659317017,0.8600958585739136,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_458,Where are aerofoils found?,birds and airplanes,Airplanes,0.5,0,0.7588648200035095,0.8245498538017273,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_120,Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,excretions,excreta,0.0,0,0.8667148351669312,0.859900712966919,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_220,What does the driving of turbines by the heating of water to steam accomplish?,generation of electricity,Generates electricity.,0.4,0,0.8558413982391357,0.8841770887374878,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_385,What is the force of attraction between things that have mass,gravity,Gravitational force,0.0,0,0.7904049158096313,0.8508160710334778,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_189,"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?",nasal septum,septum,0.6666666666666666,0,0.7941708564758301,0.9226484298706055,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_383,"Different forms, or allotropes, of carbon are diamond, graphite, and what?",fullerenes,fullerene,0.0,0,0.8909990787506104,0.9689473509788513,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_227,What property of warm air causes it to rise above cold air?,lower density,Less dense,0.0,0,0.7964804172515869,0.8733505606651306,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_57,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",carbohydrate molecules,food molecules,0.5,0,0.695904552936554,0.8517604470252991,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_262,"While climate change in earth history was due to natural processes, what is primarily to blame for recent global warming?",human actions,Human activities,0.5,0,0.7371178865432739,0.9247583150863647,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_30,Where do angiosperms produce seeds in flowers?,ovaries,Ovary,0.0,0,0.8327300548553467,0.8951192498207092,morphology_or_inflection,morphology_or_inflection,High-similarity wrong: Prediction differs mainly by singular/plural or simple inflection; this is likely an automatic-label artifact.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary succession,Succession,0.6666666666666666,0,0.8740105032920837,0.8195450901985168,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_88,Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,reproductive organs,Sexual organs.,0.5,0,0.8157496452331543,0.8409339785575867,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_95,"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice wedging,Frost wedging,0.5,0,0.8144583702087402,0.8935737609863281,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_108,How many different types of taste can be detected by taste buds?,five,5,0.0,0,0.9229784607887268,0.9198909997940063,numeric_equivalence,numeric_equivalence,High-similarity wrong: Prediction and reference use equivalent numeric forms; automatic labeling/similarity can be sensitive to surface form.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_120,Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,excretions,excreta,0.0,0,0.8667148351669312,0.859900712966919,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0.4,0,0.8981689214706421,0.976912796497345,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_152,What do ranchers fear will happen if wolves return?,livestock predation,Increase in predation on cattle.,0.28571428571428575,0,0.8773980736732483,0.8829432129859924,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_216,Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,warmer water,warm water,0.5,0,0.9005038738250732,0.9438206553459167,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_217,What are groups of young stars loosely held together by gravity called?,open clusters,Open cluster,0.5,0,0.9454847574234009,0.9744434952735901,morphology_or_inflection,morphology_or_inflection,High-similarity wrong: Prediction differs mainly by singular/plural or simple inflection; this is likely an automatic-label artifact.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_220,What does the driving of turbines by the heating of water to steam accomplish?,generation of electricity,Generates electricity.,0.4,0,0.8558413982391357,0.8841770887374878,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_221,What is a device that changes kinetic energy to electrical energy through electromagnetic induction?,an electric generator,Generator,0.6666666666666666,0,0.8309646248817444,0.8594815135002136,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_265,What are formed by the attraction between oppositely charged ions?,ionic bonds,Ionic compounds,0.5,0,0.8100942969322205,0.8575112819671631,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_292,What are the two distinct types of cells found in the animal kingdom?,prokaryotes and eukaryotes,Eukaryotic and prokaryotic,0.3333333333333333,0,0.9513199925422668,0.9660742878913879,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_330,What are the 2 primary hosts of ebola in central africa?,apes and bats,"African fruit bats, non-human primates",0.2222222222222222,0,0.8035752177238464,0.7962236404418945,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_352,The function of which organ is to filter blood and form urine?,kidneys,Kidney,0.0,0,0.8868282437324524,0.9030758738517761,morphology_or_inflection,morphology_or_inflection,High-similarity wrong: Prediction differs mainly by singular/plural or simple inflection; this is likely an automatic-label artifact.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_353,The attraction between all objects in the universe is known as ______.,gravity,gravitation,0.0,0,0.8280613422393799,0.8495526313781738,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_366,The kinetic-molecular theory as it applies to gases has how many basic assumptions?,five,5,0.0,0,0.9229784607887268,0.9198909997940063,numeric_equivalence,numeric_equivalence,High-similarity wrong: Prediction and reference use equivalent numeric forms; automatic labeling/similarity can be sensitive to surface form.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_372,Both diffusion and effusion are related to the speed at which what objects move?,gas molecules,molecules,0.6666666666666666,0,0.8015528917312622,0.8762996792793274,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_383,"Different forms, or allotropes, of carbon are diamond, graphite, and what?",fullerenes,fullerene,0.0,0,0.8909990787506104,0.9689473509788513,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_396,"What property is characterized by eddies and swirls that mix layers of fluid together, unlike laminar flow?",turbulence,Turbulent flow,0.0,0,0.8127654194831848,0.8657864928245544,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_405,The body is made up of how many types of tissue?,four,4,0.0,0,0.8942002058029175,0.863497257232666,numeric_equivalence,numeric_equivalence,High-similarity wrong: Prediction and reference use equivalent numeric forms; automatic labeling/similarity can be sensitive to surface form.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_409,What type of bonds do alkanes only contain?,carbon-carbon single bonds,Carbon-carbon and carbon-hydrogen single bonds,0.7272727272727273,0,0.9053760766983032,0.936651349067688,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_415,"This heat is used to convert water into steam, which is then used to turn a turbine, thus generating what?",electrical power,Electricity,0.0,0,0.8583700060844421,0.8643051385879517,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_470,Fission is a type of radioactivity in which large nuclei spontaneously break apart into what?,smaller nuclei,small nuclei,0.5,0,0.9489541053771973,0.9604299068450928,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_486,How many different types of stresses are there?,four,Three,0.0,0,0.8232482671737671,0.6993281841278076,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_494,Producers at the base of ecological food webs are also known as?,autotrophic,Autotrophs,0.0,0,0.8083309531211853,0.8845455050468445,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.
results_truthfulQA_500,MiniLM,high_similarity_wrong,sample_497,What is the study of the similarities and differences in the embryos of different species?,comparative embryology,Embryology,0.6666666666666666,0,0.8779030442237854,0.8416478037834167,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,MiniLM,low_similarity_correct,sample_219,What is formed when an oxygen atom picks up a pair of hydrogen ions from a solution?,water,Water molecule (H2O),0.5,1,0.48360195755958557,0.7366464138031006,answer_containment_low_embedding_score,answer_containment_low_embedding_score,"Low-similarity correct: Prediction contains the reference answer, but the embedding score is low; short-answer signal may be diluted."
results_truthfulQA_500,MiniLM,low_similarity_correct,sample_437,What vesicles store neurotransmitters?,synaptic,Presynaptic vesicles,0.0,1,0.30408188700675964,0.7117455005645752,answer_containment_low_embedding_score,answer_containment_low_embedding_score,"Low-similarity correct: Prediction contains the reference answer, but the embedding score is low; short-answer signal may be diluted."
