stage,method,family,label_field,score_field,reference_field,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1,high_similarity_wrong,low_similarity_correct
unit2,Reference validation + 0.5 span blend: sentence-transformers/all-MiniLM-L6-v2,prediction_span_ablation,correct_label,prediction_span_blend_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.631466347258538,0.36657490126848624,0.26489144599005177,0.75,0.896,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.7925424041297935,0.4095321488507673,0.69,0.874,0.38095238095238093,0.5,0.43243243243243246,10,16
unit2,Reference validation + 0.5 span blend: BAAI/bge-base-en-v1.5,prediction_span_ablation,correct_label,prediction_span_blend_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7390130003914237,0.5654184515958867,0.17359454879553704,0.75,0.854,0.34177215189873417,0.5625,0.4251968503937008,0.7879793510324484,0.44685859997418276,0.78,0.89,0.4406779661016949,0.5416666666666666,0.48598130841121495,29,4
unit3,Conservative multi-view score: sentence-transformers/all-MiniLM-L6-v2,span_similarity_ablation,correct_label,multi_view_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.6582898931733022,0.3785676445161337,0.27972224865716855,0.75,0.898,0.46153846153846156,0.375,0.41379310344827586,0.8141132005899706,0.4474400378824735,0.7,0.882,0.4098360655737705,0.5208333333333334,0.45871559633027525,8,13
unit3,Span max similarity: sentence-transformers/all-MiniLM-L6-v2,span_similarity_ablation,correct_label,span_max_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.89970180640618,0.4865023337449596,0.4131994726612204,0.75,0.878,0.43010752688172044,0.8333333333333334,0.5673758865248227,0.9132789454277287,0.7664058710285336,0.92,0.962,0.8222222222222222,0.7708333333333334,0.7956989247311828,37,4
unit3,Span top-k mean similarity: sentence-transformers/all-MiniLM-L6-v2,span_similarity_ablation,correct_label,span_topk_mean_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.8498703435373803,0.6255660289818242,0.2243043145555561,0.75,0.62,0.18584070796460178,0.875,0.30656934306569344,0.6641085914454278,0.12833327602947198,0.76,0.624,0.1875,0.875,0.3088235294117647,173,3
unit3,Reference-to-prediction span similarity: sentence-transformers/all-MiniLM-L6-v2,span_similarity_ablation,correct_label,reference_to_prediction_span_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.7172433606659373,0.3829853448879532,0.3342580157779841,0.75,0.876,0.390625,0.5208333333333334,0.44642857142857145,0.7993178466076696,0.5379529181636954,0.95,0.94,0.875,0.4375,0.5833333333333334,25,13
unit3,Conservative multi-view score: BAAI/bge-base-en-v1.5,span_similarity_ablation,correct_label,multi_view_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7585272869405647,0.5733305515474187,0.18519673539314596,0.75,0.854,0.34177215189873417,0.5625,0.4251968503937008,0.8125460914454278,0.49282432467741627,0.79,0.896,0.4642857142857143,0.5416666666666666,0.5,29,4
unit3,Span max similarity: BAAI/bge-base-en-v1.5,span_similarity_ablation,correct_label,span_max_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.9341558658828338,0.6445394511112069,0.2896164147716269,0.75,0.79,0.3006993006993007,0.8958333333333334,0.450261780104712,0.9263228244837757,0.8116660423222007,0.91,0.966,0.8444444444444444,0.7916666666666666,0.8172043010752689,56,1
unit3,Span top-k mean similarity: BAAI/bge-base-en-v1.5,span_similarity_ablation,correct_label,span_topk_mean_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.8897109052373301,0.7357120612377966,0.15399884399953345,0.75,0.59,0.17695473251028807,0.8958333333333334,0.29553264604810997,0.6772676991150443,0.13281789885617537,0.8,0.618,0.18777292576419213,0.8958333333333334,0.3104693140794224,186,1
unit3,Reference-to-prediction span similarity: BAAI/bge-base-en-v1.5,span_similarity_ablation,correct_label,reference_to_prediction_span_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7882709794988235,0.5705100826721275,0.21776089682669597,0.75,0.834,0.3118279569892473,0.6041666666666666,0.41134751773049644,0.7720547566371683,0.5680388010968737,0.95,0.942,0.9130434782608695,0.4375,0.5915492957746479,38,8
unit4,Factual unit alignment score,factual_unit_features,correct_label,factual_unit_score,reference_answer_v2,48,452,0.8864583333333332,0.7717041264414053,0.11475420689192795,0.75,0.258,0.1108433734939759,0.9583333333333334,0.19870410367170627,0.7052221607669618,0.1861990029751501,0.92,0.792,0.24545454545454545,0.5625,0.34177215189873417,103,0
unit4,Factual conflict penalty on v2 embedding: sentence-transformers/all-MiniLM-L6-v2,factual_conflict_penalty,correct_label,factual_conflict_adjusted_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.5197041162910561,0.2973103743586934,0.22239374193236267,0.75,0.892,0.375,0.1875,0.25,0.7244422935103245,0.31280718739683067,0.32,0.624,0.18181818181818182,0.8333333333333334,0.29850746268656714,6,25
unit4,Factual conflict penalty on prediction-span blend: sentence-transformers/all-MiniLM-L6-v2,factual_conflict_penalty,correct_label,factual_conflict_adjusted_prediction_span_blend_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.6043258372383813,0.31106951378471404,0.29325632345366726,0.75,0.916,0.6153846153846154,0.3333333333333333,0.43243243243243246,0.8026364306784661,0.46747750849676134,0.69,0.9,0.48,0.5,0.4897959183673469,3,18
unit4,Factual conflict penalty on span max similarity: sentence-transformers/all-MiniLM-L6-v2,factual_conflict_penalty,correct_label,factual_conflict_adjusted_span_max_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.8713163773218792,0.43018878844440517,0.441127588877474,0.75,0.91,0.52,0.8125,0.6341463414634146,0.9165514380530974,0.7950190454961693,0.9,0.964,0.8571428571428571,0.75,0.8,20,4
unit4,Factual conflict penalty on multi-view score: sentence-transformers/all-MiniLM-L6-v2,factual_conflict_penalty,correct_label,factual_conflict_adjusted_multi_view_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.6308817629236728,0.3225632102533836,0.30831855267028924,0.75,0.92,0.6428571428571429,0.375,0.47368421052631576,0.8214417404129793,0.5120853720140979,0.7,0.904,0.5,0.5208333333333334,0.5102040816326531,3,15
unit4,Factual conflict penalty on v2 embedding: BAAI/bge-base-en-v1.5,factual_conflict_penalty,correct_label,factual_conflict_adjusted_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.6613695897161961,0.503404201905556,0.15796538781064007,0.75,0.856,0.25,0.25,0.25,0.741519174041298,0.32618895339489123,0.73,0.852,0.27586206896551724,0.3333333333333333,0.3018867924528302,16,8
unit4,Factual conflict penalty on prediction-span blend: BAAI/bge-base-en-v1.5,factual_conflict_penalty,correct_label,factual_conflict_adjusted_prediction_span_blend_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7106275837247571,0.5083444832062378,0.20228310051851928,0.75,0.9,0.4807692307692308,0.5208333333333334,0.5,0.7947087020648969,0.5200766106697183,0.78,0.918,0.5813953488372093,0.5208333333333334,0.5494505494505495,14,9
unit4,Factual conflict penalty on span max similarity: BAAI/bge-base-en-v1.5,factual_conflict_penalty,correct_label,factual_conflict_adjusted_span_max_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.9057704293479523,0.5874654827215582,0.3183049466263941,0.75,0.858,0.3925233644859813,0.875,0.5419354838709678,0.9284891224188789,0.8181370011639713,0.85,0.964,0.8125,0.8125,0.8125,25,1
unit4,Factual conflict penalty on multi-view score: BAAI/bge-base-en-v1.5,factual_conflict_penalty,correct_label,factual_conflict_adjusted_multi_view_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7301418700255454,0.51625658315777,0.21388528686777541,0.75,0.898,0.4716981132075472,0.5208333333333334,0.49504950495049505,0.8177083333333334,0.5657073828150138,0.79,0.924,0.625,0.5208333333333334,0.5681818181818182,14,5
unit6,Reduced fixed multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_fixed_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.6399055852302505,0.2950876590680533,0.34481792616219725,0.75,0.928,0.75,0.375,0.5,0.8638919616519174,0.59793828121681,0.71,0.932,0.7333333333333333,0.4583333333333333,0.5641025641025641,1,14
unit6,Reduced span-precision multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_span_precision_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.6836782071448396,0.31204465237643936,0.37163355476840026,0.75,0.934,0.7777777777777778,0.4375,0.56,0.8866841814159292,0.6738942475932274,0.63,0.926,0.6078431372549019,0.6458333333333334,0.6262626262626263,1,8
unit6,Reduced span-guarded multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_span_guarded_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.8117262072178226,0.4098894240796286,0.40183678313819404,0.75,0.944,0.6851851851851852,0.7708333333333334,0.7254901960784313,0.9119653392330384,0.7957382762569679,0.79,0.962,0.8372093023255814,0.75,0.7912087912087912,6,4
unit6,Reduced span-ranked multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_span_ranked_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.864969927733764,0.44583509629315526,0.41913483144060876,0.75,0.91,0.5194805194805194,0.8333333333333334,0.64,0.9161135693215339,0.8118899627918049,0.91,0.964,0.8571428571428571,0.75,0.8,18,4
unit6,Reduced semantic-recall multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_semantic_recall_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.5961329633156613,0.27831921907579654,0.3178137442398648,0.75,0.918,0.7058823529411765,0.25,0.36923076923076925,0.8379194321533923,0.5198890158366382,0.62,0.916,0.5681818181818182,0.5208333333333334,0.5434782608695652,1,17
unit6,Reduced fixed multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_fixed_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7150970964692535,0.4452600980559065,0.26983699841334696,0.75,0.93,0.7096774193548387,0.4583333333333333,0.5569620253164557,0.871589233038348,0.6155650235478373,0.69,0.922,0.6097560975609756,0.5208333333333334,0.5617977528089888,7,4
unit6,Reduced span-precision multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_span_precision_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7456472032858681,0.45576775815790677,0.2898794451279613,0.75,0.928,0.6875,0.4583333333333333,0.55,0.8923303834808259,0.6722810098245683,0.82,0.942,0.88,0.4583333333333333,0.6027397260273972,9,4
unit6,Reduced span-guarded multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_span_guarded_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.8536960227042437,0.5570751627091336,0.2966208599951101,0.75,0.93,0.5942028985507246,0.8541666666666666,0.7008547008547008,0.9243178466076696,0.81333642490912,0.82,0.96,0.8333333333333334,0.7291666666666666,0.7777777777777778,11,3
unit6,Reduced span-ranked multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_span_ranked_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.9049045681891341,0.6060920060366176,0.2988125621525165,0.75,0.844,0.3706896551724138,0.8958333333333334,0.524390243902439,0.9289730825958702,0.8454361786665647,0.85,0.964,0.8125,0.8125,0.8125,33,1
unit6,Reduced semantic-recall multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_semantic_recall_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.6845469896526386,0.4347524379539063,0.24979455169873233,0.75,0.928,0.7,0.4375,0.5384615384615384,0.8480825958702064,0.5438182661569029,0.67,0.912,0.5416666666666666,0.5416666666666666,0.5416666666666666,8,8
