dataset,task_type,model,failure_kind,id,question,ground_truth,evaluation_reference,reference_answer_source,reference_evidence,prediction,correct_label,token_f1,contains_ground_truth,entity_overlap,similarity,distance,explanation_hint
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,low_similarity_correct,sample_77,"When populations get close to the carrying capacity, what happens to growth?",slows,slows,ground_truth,slows,Growth slows down.,1,0.5,1,0.0,0.3434903025627136,0.6565096974372864,"Correct short answer is contained, but whole-answer embedding is low."
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,intraplate earthquakes,ground_truth,intraplate earthquakes,Intra-plate earthquakes,0,0.4,0,0.0,0.976912796497345,0.02308720350265503,Semantic relatedness may be high while key factual units differ.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_292,What are the two distinct types of cells found in the animal kingdom?,prokaryotes and eukaryotes,prokaryotes and eukaryotes,ground_truth,prokaryotes and eukaryotes,Eukaryotic and prokaryotic,0,0.3333333333333333,0,0.0,0.9660742878913879,0.03392571210861206,Semantic relatedness may be high while key factual units differ.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_216,Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,warmer water,warmer water,ground_truth,warmer water,warm water,0,0.5,0,0.5,0.9438207149505615,0.05617928504943848,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_409,What type of bonds do alkanes only contain?,carbon-carbon single bonds,carbon-carbon single bonds,ground_truth,carbon-carbon single bonds,Carbon-carbon and carbon-hydrogen single bonds,0,0.7272727272727273,0,0.0,0.9366515278816223,0.06334847211837769,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_41,What phenomenon is primarily the result of plate tectonic motions?,earthquake,earthquake,ground_truth,earthquake,Earthquakes,0,0.0,0,0.0,0.9273387789726257,0.07266122102737427,Semantic relatedness may be high while key factual units differ.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_462,Frequency and intensity are two measurable properties of what?,wave,wave,ground_truth,wave,waves,0,0.0,0,0.0,0.9254010319709778,0.07459896802902222,Semantic relatedness may be high while key factual units differ.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_262,"While climate change in earth history was due to natural processes, what is primarily to blame for recent global warming?",human actions,human actions,ground_truth,human actions,Human activities,0,0.5,0,0.0,0.9247585535049438,0.07524144649505615,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_189,"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?",nasal septum,nasal septum,ground_truth,nasal septum,septum,0,0.6666666666666666,0,0.6666666666666666,0.922648549079895,0.07735145092010498,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_152,What do ranchers fear will happen if wolves return?,livestock predation,livestock predation,ground_truth,livestock predation,Increased predation on livestock.,0,0.6666666666666666,0,0.0,0.9186480045318604,0.08135199546813965,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_330,What are the 2 primary hosts of ebola in central africa?,apes and bats,apes and bats,ground_truth,apes and bats,Bats and primates,0,0.6666666666666666,0,0.0,0.9147254228591919,0.0852745771408081,High semantic score with partial lexical overlap; inspect specificity.
