stage,method,family,label_field,score_field,reference_field,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1
unit2,Reference validation + 0.5 span blend: sentence-transformers/all-MiniLM-L6-v2,prediction_span_ablation,correct_label,prediction_span_blend_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.631466347258538,0.36657490126848624,0.26489144599005177,0.75,0.896,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.7925424041297935,0.4095321488507673,0.69,0.874,0.38095238095238093,0.5,0.43243243243243246
unit2,Reference validation + 0.5 span blend: BAAI/bge-base-en-v1.5,prediction_span_ablation,correct_label,prediction_span_blend_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7390130003914237,0.5654184515958867,0.17359454879553704,0.75,0.854,0.34177215189873417,0.5625,0.4251968503937008,0.7879793510324484,0.44685859997418276,0.78,0.89,0.4406779661016949,0.5416666666666666,0.48598130841121495
unit3,Conservative multi-view score: sentence-transformers/all-MiniLM-L6-v2,span_similarity_ablation,correct_label,multi_view_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.6582898931733022,0.3785676445161337,0.27972224865716855,0.75,0.898,0.46153846153846156,0.375,0.41379310344827586,0.8141132005899706,0.4474400378824735,0.7,0.882,0.4098360655737705,0.5208333333333334,0.45871559633027525
unit3,Span max similarity: sentence-transformers/all-MiniLM-L6-v2,span_similarity_ablation,correct_label,span_max_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.89970180640618,0.4865023337449596,0.4131994726612204,0.75,0.878,0.43010752688172044,0.8333333333333334,0.5673758865248227,0.9132789454277287,0.7664058710285336,0.92,0.962,0.8222222222222222,0.7708333333333334,0.7956989247311828
unit3,Span top-k mean similarity: sentence-transformers/all-MiniLM-L6-v2,span_similarity_ablation,correct_label,span_topk_mean_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.8498703435373803,0.6255660289818242,0.2243043145555561,0.75,0.62,0.18584070796460178,0.875,0.30656934306569344,0.6641085914454278,0.12833327602947198,0.76,0.624,0.1875,0.875,0.3088235294117647
unit3,Reference-to-prediction span similarity: sentence-transformers/all-MiniLM-L6-v2,span_similarity_ablation,correct_label,reference_to_prediction_span_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.7172433606659373,0.3829853448879532,0.3342580157779841,0.75,0.876,0.390625,0.5208333333333334,0.44642857142857145,0.7993178466076696,0.5379529181636954,0.95,0.94,0.875,0.4375,0.5833333333333334
unit3,Conservative multi-view score: BAAI/bge-base-en-v1.5,span_similarity_ablation,correct_label,multi_view_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7585272869405647,0.5733305515474187,0.18519673539314596,0.75,0.854,0.34177215189873417,0.5625,0.4251968503937008,0.8125460914454278,0.49282432467741627,0.79,0.896,0.4642857142857143,0.5416666666666666,0.5
unit3,Span max similarity: BAAI/bge-base-en-v1.5,span_similarity_ablation,correct_label,span_max_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.9341558658828338,0.6445394511112069,0.2896164147716269,0.75,0.79,0.3006993006993007,0.8958333333333334,0.450261780104712,0.9263228244837757,0.8116660423222007,0.91,0.966,0.8444444444444444,0.7916666666666666,0.8172043010752689
unit3,Span top-k mean similarity: BAAI/bge-base-en-v1.5,span_similarity_ablation,correct_label,span_topk_mean_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.8897109052373301,0.7357120612377966,0.15399884399953345,0.75,0.59,0.17695473251028807,0.8958333333333334,0.29553264604810997,0.6772676991150443,0.13281789885617537,0.8,0.618,0.18777292576419213,0.8958333333333334,0.3104693140794224
unit3,Reference-to-prediction span similarity: BAAI/bge-base-en-v1.5,span_similarity_ablation,correct_label,reference_to_prediction_span_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7882709794988235,0.5705100826721275,0.21776089682669597,0.75,0.834,0.3118279569892473,0.6041666666666666,0.41134751773049644,0.7720547566371683,0.5680388010968737,0.95,0.942,0.9130434782608695,0.4375,0.5915492957746479
